inlf	hours	kidslt6	kidsge6	age	educ	wage	huseduc	faminc	motheduc	fatheduc	unem	city	exper	nwifeinc	expersq
1	1610	1	0	32	12	3.354	12	16310	12	7	5	0	14	10.91006	196
1	1656	0	2	30	12	1.3889	9	21800	7	7	11	1	5	19.49998	25
1	1980	1	3	35	12	4.5455	12	21040	12	7	5	0	15	12.03991	225
1	456	0	3	34	12	1.0965	10	7300	7	7	5	0	6	6.799996	36
1	1568	1	2	31	14	4.5918	12	27300	12	14	9.5	1	7	20.10006	49
1	2032	0	0	54	12	4.7421	11	19495	14	7	7.5	1	33	9.859054	1089
1	1440	0	2	37	16	8.3333	12	21152	14	7	5	0	11	9.152048	121
1	1020	0	0	54	12	7.8431	8	18900	3	3	5	0	35	10.90004	1225
1	1458	0	2	48	12	2.1262	4	20405	7	7	3	0	24	17.305	576
1	1600	0	2	39	12	4.6875	12	20425	7	7	5	0	21	12.925	441
1	1969	0	1	33	12	4.063	12	32300	12	3	5	0	15	24.29995	225
1	1960	0	1	42	11	4.5918	14	28700	14	7	5	0	14	19.70007	196
1	240	1	2	30	12	2.0833	16	15500	16	16	5	0	0	15.00001	0
1	997	0	2	43	12	2.2668	12	16860	10	10	7.5	1	14	14.6	196
1	1848	0	1	43	10	3.6797	17	31431	7	7	7.5	1	6	24.63091	36
1	1224	0	3	35	11	1.3472	12	19180	16	10	7.5	1	9	17.53103	81
1	1400	0	2	43	12	3.2143	12	18600	10	7	7.5	1	20	14.09998	400
1	640	0	5	39	12	5.175	12	19151	12	12	7.5	1	6	15.839	36
1	2000	0	0	45	12	2	11	18100	7	7	5	1	23	14.1	529
1	1324	0	4	35	12	7.5529	10	20300	12	7	5	0	9	10.29996	81
1	2215	0	2	42	16	3.5052	16	30419	10	16	7.5	0	5	22.65498	25
1	1680	0	0	30	12	3.5714	12	14090	12	10	3	0	11	8.090048	121
1	1600	0	0	48	13	3.25	17	22679	7	3	5	1	18	17.479	324
1	800	0	0	45	12	3.25	17	12160	7	7	11	0	15	9.56	225
1	1955	1	1	31	12	2.1545	12	12487	12	7	5	1	4	8.274953	16
1	660	0	2	43	17	3.7879	17	29850	16	14	9.5	1	21	27.34999	441
1	525	0	0	59	12	4	16	18100	3	7	9.5	1	31	16	961
1	1904	0	3	32	12	4.7269	13	26000	3	7	11	1	9	16.99998	81
1	1516	1	0	31	17	7.2559	17	26100	12	12	5	0	7	15.10006	49
1	346	0	0	42	12	5.8671	10	17730	12	12	9.5	0	7	15.69998	49
1	1040	0	0	50	11	1.5385	10	6719	7	7	7.5	1	32	5.11896	1024
1	732	0	0	59	16	2.459	17	18550	3	3	14	1	11	16.75001	121
1	1880	0	2	36	13	5.8511	13	24600	12	10	7.5	0	16	13.59993	256
1	1680	0	1	51	12	3.5714	8	23100	7	14	5	1	14	17.10005	196
1	2081	0	3	45	16	3.8068	17	24656	12	12	5	1	27	16.73405	729
1	690	0	1	42	11	2.4638	8	15897	10	3	7.5	0	0	14.19698	0
1	4210	0	0	46	12	2.3753	16	20320	3	3	11	1	17	10.31999	289
1	2205	0	1	46	10	4.5351	12	21384	10	3	11	0	28	11.3841	784
1	1952	0	0	51	14	5.6183	12	25561	7	7	14	0	24	14.59408	576
1	1302	0	0	30	17	14.631	17	36550	14	17	5	1	11	17.50044	121
1	112	1	2	30	12	2.6786	16	15810	12	12	3	0	1	15.51	1
1	893	0	0	57	12	3.9194	12	25500	9	9	7.5	1	14	21.99998	196
1	583	1	2	31	16	2.5729	16	24000	14	16	9.5	1	6	22.5	36
1	480	0	2	48	12	4.5375	8	22172	3	3	5	0	10	19.994	100
1	1900	0	3	30	12	2	12	17930	12	7	5	0	6	14.13	36
1	576	0	2	34	12	3.4722	12	7000	12	7	3	0	4	5.000013	16
1	2056	0	2	48	16	2.0161	16	25300	14	16	5	1	10	21.1549	100
1	1984	0	0	45	12	4.5716	11	16212	10	10	11	0	22	7.141946	484
1	2640	0	0	51	12	2.2727	13	22650	7	7	3	0	16	16.65007	256
1	240	0	2	30	12	2.6375	12	6985	12	7	14	0	6	6.352	36
1	1173	0	1	46	12	2.2899	12	30000	7	7	11	1	12	27.31395	144
1	3640	0	0	58	12	1.0989	12	18500	7	3	9.5	1	32	14.5	1024
1	340	0	8	37	12	1.1765	10	16658	12	7	5	0	15	16.25799	225
1	500	0	0	52	8	1.6	11	10300	7	7	5	1	17	9.5	289
